index,Address,Category,City,Country,Latitude,Longitude,Name,Country2,City2,Query
0,,Food Court,Antofagasta,Chile,-23.645874,-70.394727,Antojitos,Chile,Antofagasta,restaurant
0,Llanquihue 3314,Bakery,Antofagasta,Chile,-23.641829542369642,-70.38744485875857,Pastelería Araucaria,Chile,Antofagasta,restaurant
0,,BBQ Joint,,Chile,-23.64935395241507,-70.40019546356159,La Palmera Restaurant,Chile,Antofagasta,restaurant
0,Manuel Antonio Matta 3038,Fast Food Restaurant,Antofagasta,Chile,-23.646550179995128,-70.3920111504972,Yasmin,Chile,Antofagasta,restaurant
0,Matta,Burger Joint,Antofagasta,Chile,-23.64658369004844,-70.39199519470226,Yasmín Fuente de Soda,Chile,Antofagasta,restaurant
0,,Bakery,,Chile,-23.631396,-70.383381,Pasteleria la Diferencia,Chile,Antofagasta,restaurant
0,Sucre,Restaurant,Antofagasta,Chile,-23.64886,-70.394836,Rincón Latino,Chile,Antofagasta,restaurant
0,,Café,,Chile,-23.645888412514154,-70.39882972924566,Letra y Música Café Literario,Chile,Antofagasta,restaurant
0,,Pizza Place,,Chile,-23.6320492334533,-70.38798215181211,Pizza Pavarotti,Chile,Antofagasta,restaurant
0,,Café,Antofagasta,Chile,-23.646209007343764,-70.39925979063504,Atelier Café,Chile,Antofagasta,restaurant
0,,Café,Antofagasta,Chile,-23.648877673715255,-70.39945456799411,After Five,Chile,Antofagasta,restaurant
0,,Restaurant,,Chile,-23.645234131966305,-70.40158981391825,Restaurant Hotel Terrado,Chile,Antofagasta,restaurant
0,Maipu 314,Cantonese Restaurant,Antofagasta,Chile,-23.647964011006305,-70.40030479431152,La Ciudad Nueva Maipu,Chile,Antofagasta,restaurant
0,Mall Plaza Antofagasta,Gastropub,Antofagasta,Chile,-23.64457565404245,-70.4025280372114,Ciragán Restobar,Chile,Antofagasta,restaurant
0,Washington Esq. Maipú,Bakery,,Chile,-23.64772202408503,-70.40050222541403,Emporio El Salitre,Chile,Antofagasta,restaurant
0,Latorre 2418,Chinese Restaurant,Antofagasta,Chile,-23.64920918724789,-70.39883950844794,Restaurant Kin Wong,Chile,Antofagasta,restaurant
