city,cityLabel,population,pa_s,pa_sLabel,coordenadas
http://www.wikidata.org/entity/Q57866,Yancheng,7260240,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(120.1573 33.3575)
http://www.wikidata.org/entity/Q57866,Yancheng,7260240,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(120.133055555 33.383888888)
http://www.wikidata.org/entity/Q3897,Luanda,7250000,http://www.wikidata.org/entity/Q916,Angola,Point(13.233333333 -8.833333333)
http://www.wikidata.org/entity/Q34412,Foshan,7194311,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(113.105556 23.029167)
http://www.wikidata.org/entity/Q34412,Foshan,7194311,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(113.13148 23.02677)
http://www.wikidata.org/entity/Q58422,Tangshan,7100000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(118.174166666 39.629166666)
http://www.wikidata.org/entity/Q194531,Shaoyang,7071000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(111.46214 27.23818)
http://www.wikidata.org/entity/Q194531,Shaoyang,7071000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(111.47247 27.24176)
http://www.wikidata.org/entity/Q174091,Changsha,7044118,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(112.972222 28.196111)
http://www.wikidata.org/entity/Q174091,Changsha,7044118,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(112.97087 28.19874)
http://www.wikidata.org/entity/Q30340,Zhengzhou,7005000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(113.64861 34.75778)
http://www.wikidata.org/entity/Q30340,Zhengzhou,7005000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(113.66051 34.74919)
http://www.wikidata.org/entity/Q404817,Shangqiu,7000000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(115.64673 34.42592)
http://www.wikidata.org/entity/Q404817,Shangqiu,7000000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(115.65 34.45)
http://www.wikidata.org/entity/Q1530,Baghdad,6960000,http://www.wikidata.org/entity/Q796,Iraq,Point(44.416666666 33.35)
http://www.wikidata.org/entity/Q486319,Bijie,6959000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(105.28627 27.30193)
http://www.wikidata.org/entity/Q486319,Bijie,6959000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(105.28092 27.30947)
http://www.wikidata.org/entity/Q59144,Zhanjiang,6900000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(110.403056 21.196667)
